0.15,0,-0.156743,0
0.15,0.05,-0.0785119,-0.0495023
0.15,0.1,-0.0310679,-0.0723097
0.15,0.15,-0.00349597,-0.079217
0.15,0.2,0.0114714,-0.0771381
0.15,0.25,0.0186279,-0.0704144
0.15,0.3,0.0210989,-0.0616987
0.15,0.35,0.0208929,-0.0525503
0.15,0.4,0.0192767,-0.0438314
0.15,0.45,0.0170295,-0.0359692
0.15,0.5,0.0146141,-0.0291275
0.15,0.55,0.0122912,-0.0233169
0.15,0.6,0.0101951,-0.0184649
0.15,0.65,0.00838367,-0.0144588
0.15,0.7,0.00687033,-0.0111716
0.15,0.75,0.00564488,-0.0084758
0.15,0.8,0.00468638,-0.00625136
0.15,0.85,0.00397113,-0.00438794
0.15,0.9,0.00347742,-0.00278519
0.15,0.95,0.00318831,-0.00135119
0.15,1,0.00309315,0.00E+00
0.2,0,-0.0824045,0
0.2,0.05,-0.0412761,-0.0581934
0.2,0.1,-0.0163334,-0.0850052
0.2,0.15,-0.00183794,-0.0931252
0.2,0.2,0.00603088,-0.0906813
0.2,0.25,0.00979326,-0.0827771
0.2,0.3,0.0110923,-0.0725312
0.2,0.35,0.010984,-0.0617766
0.2,0.4,0.0101343,-0.0515269
0.2,0.45,0.00895293,-0.0422843
0.2,0.5,0.00768309,-0.0342414
0.2,0.55,0.00646186,-0.0274106
0.2,0.6,0.00535989,-0.0217068
0.2,0.65,0.00440756,-0.0169974
0.2,0.7,0.00361195,-0.013133
0.2,0.75,0.00296769,-0.0099639
0.2,0.8,0.00246378,-0.00734891
0.2,0.85,0.00208775,-0.00515833
0.2,0.9,0.00182819,-0.00327419
0.2,0.95,0.00167619,-0.00158841
0.2,1,0.00162616,0.00E+00
0.25,0,-4.90E-17,0
0.25,0.05,-2.45E-17,-0.0611882
0.25,0.1,-9.71E-18,-0.0893797
0.25,0.15,-1.09E-18,-0.0979176
0.25,0.2,3.58E-18,-0.095348
0.25,0.25,5.82E-18,-0.087037
0.25,0.3,6.59E-18,-0.0762638
0.25,0.35,6.53E-18,-0.0649557
0.25,0.4,6.02E-18,-0.0541785
0.25,0.45,5.32E-18,-0.0444603
0.25,0.5,4.57E-18,-0.0360035
0.25,0.55,3.84E-18,-0.0288213
0.25,0.6,3.19E-18,-0.0228239
0.25,0.65,2.62E-18,-0.0178721
0.25,0.7,2.15E-18,-0.0138088
0.25,0.75,1.76E-18,-0.0104767
0.25,0.8,1.46E-18,-0.0077271
0.25,0.85,1.24E-18,-0.00542379
0.25,0.9,1.09E-18,-0.00344269
0.25,0.95,9.96E-19,-0.00167016
0.25,1,9.67E-19,0.00E+00
0.3,0,0.0824045,0
0.3,0.05,0.0412761,-0.0581934
0.3,0.1,0.0163334,-0.0850052
0.3,0.15,0.00183794,-0.0931252
0.3,0.2,-0.00603088,-0.0906813
